(46, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 46):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(82, 39):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(56, 51):  	connectivity: 1,  	local depth: 10,  	global depth: 79
(59, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 61):  	connectivity: 1,  	local depth: 14,  	global depth: 254
(79, 58):  	connectivity: 2,  	local depth: 19,  	global depth: 154
(92, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 62):  	connectivity: 3,  	local depth: 25,  	global depth: 134
(85, 35):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(62, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 55):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 33):  	connectivity: 1,  	local depth: 13,  	global depth: 26
(66, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 24):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(62, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
