(58, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 28):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(29, 37):  	connectivity: 4,  	local depth: 18,  	global depth: 27
(31, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 35):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(48, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 25):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(45, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 71):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(45, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 50):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 29):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(51, 43):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(14, 33):  	connectivity: 3,  	local depth: 16,  	global depth: 20
(44, 25):  	connectivity: 1,  	local depth: 8,  	global depth: 57
(27, 61):  	connectivity: 2,  	local depth: 12,  	global depth: 30
(44, 26):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(31, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 40
(57, 23):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 36):  	connectivity: 3,  	local depth: 15,  	global depth: 24
(20, 45):  	connectivity: 2,  	local depth: 4,  	global depth: 4
